ID,Project_Code,PQ,PO_SO,ASN_DN,Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,Product_Group,Sub_Classification,Vendor,Item_Description,Molecule_Test_Type,Brand,Dosage,Dosage_Form,Unit_of_Measure_Per_Pack,Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Manufacturing_Site,First_Line_Designation,PO_Sent_to_Vendor_Date,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Delivery_Delay_Days,Weight_Kilograms,Freight_Cost_USD,Line_Item_Insurance_USD,Year,Month,Quarter,Month_Name
1,PC-25795,PQ,PO452475,ASN70972,Vietnam,PMO - NG,Direct Drop,DDP,Ocean,ANTIMALARIALS,Sub-1,Matrix Laboratories,Medicine A 100mg,Type-1,Brand-A,50mg,Tablet,100,6845,84035.81,410.89,4.08,Cipla,Yes,2015-03-01,2015-04-24,2015-04-19,2015-04-23,-5,8172.53,12255.34,840.36,2015,4,2,April
2,PC-10860,PQ,PO556120,ASN65919,Vietnam,PMO - SA,From RDC,FCA,Ocean,ARV,Sub-2,Matrix Laboratories,Medicine B 100mg,Type-2,Brand-B,100mg,Tablet,60,2535,86056.43,18.38,8.31,,Yes,2015-08-02,2015-10-18,2015-10-19,2015-10-19,1,1803.24,959.78,860.56,2015,10,4,October
3,PC-86820,PQ,PO224786,ASN92486,Nigeria,PMO - US,From RDC,DDP,Air,Safety,Sub-3,Hetero Unit III India,Medicine C 100mg,Type-3,Brand-C,100mg,Tablet,100,2927,88361.44,392.57,9.27,Matrix,Yes,2015-08-02,2015-09-18,2015-09-18,2015-09-20,0,3341.21,16382.98,883.61,2015,9,3,September
4,PC-64886,PQ,PO951601,ASN91288,Côte d'Ivoire,PMO - NG,Direct Drop,DDP,Ocean,HRDT,Sub-4,Cipla Ltd.,Medicine D 100mg,Type-4,Brand-D,100mg,Solution,120,8472,28225.41,89.43,4.37,Ranbaxy,Yes,2015-03-23,2015-06-13,2015-06-27,2015-06-29,14,9243.91,6400.42,282.25,2015,6,2,June
5,PC-16265,PQS,PO692435,ASN14132,Zimbabwe,PMO - US,Direct Drop,DDP,Air,ANTIMALARIALS,Sub-5,Matrix Laboratories,Medicine E 100mg,Type-5,Brand-E,50mg,Solution,100,5280,14239.29,287.7,0.92,Aurobindo Unit III,Yes,2015-03-20,2015-06-06,2015-06-07,2015-06-10,1,4358.82,21516.9,142.39,2015,6,2,June
6,PC-92386,PQ,PO646363,ASN51598,Uganda,PMO - US,Direct Drop,EXW,Air,ANTIMALARIA,Sub-6,Matrix Laboratories,Medicine F 100mg,Type-6,Brand-F,500mg,Solution,120,9462,11291.78,404.23,1.72,Hetero Unit III,Yes,2015-03-17,2015-06-14,2015-06-28,2015-07-02,14,10131.51,34088.34,112.92,2015,6,2,June
7,PC-47194,PQ,PO968447,ASN30551,Haiti,PMO - SA,From RDC,CIF,Ocean,ANTIMALARIA,Sub-7,Ranbaxy Fine Chemicals Limited,Medicine G 100mg,Type-7,Brand-G,200mg,Solution,30,2843,40608.69,282.84,7.23,Ranbaxy,Yes,2015-02-13,2015-04-27,2015-04-30,2015-05-02,3,935.77,1010.13,406.09,2015,4,2,April
8,PC-97498,PQ,PO830076,ASN78206,Zimbabwe,PMO - NG,Direct Drop,DDP,Truck,ANTIMALARIA,Sub-8,Hetero Unit III India,Medicine H 100mg,Type-8,Brand-H,100mg,Capsule,90,5996,43503.16,204.91,3.32,Cipla,Yes,2015-08-20,2015-09-21,2015-09-20,2015-09-20,-1,5403.51,5053.25,435.03,2015,9,3,September
9,PC-54131,PQ,PO109304,ASN84900,South Africa,PMO - SA,From RDC,DDP,Ocean,HRDT,Sub-9,Ranbaxy Fine Chemicals Limited,Medicine I 100mg,Type-9,Brand-I,200mg,Solution,30,1235,86952.79,164.03,7.88,Hetero Unit III,Yes,2015-03-13,2015-05-17,2015-05-24,2015-05-28,7,403.62,599.09,869.53,2015,5,2,May
10,PC-70263,PQ,PO229851,ASN36296,Nigeria,PMO - NG,From RDC,FCA,Ocean,Safety,Sub-10,Matrix Laboratories,Medicine J 100mg,Type-10,Brand-J,200mg,Solution,100,1810,27507.85,156.02,7.52,Cipla,Yes,2015-07-08,2015-08-25,2015-08-25,2015-08-28,0,1916.22,1286.98,275.08,2015,8,3,August
